,date,home_team,score,away_team
421,22-09-2023,Alaves,0 - 2,Ath Bilbao
422,28-09-2023,Celta,1 - 1,Alaves
423,01-10-2023,Alaves,0 - 2,Osasuna
424,08-10-2023,Alaves,1 - 1,Betis
425,22-10-2023,Villarreal,1 - 1,Alaves
426,29-10-2023,Ath Madrid,2 - 1,Alaves
427,05-11-2023,Alaves,1 - 0,Almeria
428,12-11-2023,Barcelona,2 - 1,Alaves
429,24-11-2023,Alaves,3 - 1,Granada
430,03-12-2023,Mallorca,0 - 0,Alaves
431,09-12-2023,Alaves,0 - 1,Las Palmas
432,18-12-2023,Girona,3 - 0,Alaves
433,21-12-2023,Alaves,0 - 1,Real Madrid
434,02-01-2024,Sociedad,1 - 1,Alaves
435,12-01-2024,Sevilla,2 - 3,Alaves
436,19-01-2024,Alaves,? - ?,Cadiz
437,11-08-2023,Almeria,0 - 2,Vallecano
438,19-08-2023,Almeria,1 - 3,Real Madrid
439,26-08-2023,Cadiz,1 - 1,Almeria
440,01-09-2023,Almeria,2 - 3,Celta
441,17-09-2023,Villarreal,2 - 1,Almeria
442,23-09-2023,Almeria,2 - 2,Valencia
443,26-09-2023,Sevilla,5 - 1,Almeria
444,01-10-2023,Almeria,3 - 3,Granada
445,06-10-2023,Ath Bilbao,3 - 0,Almeria
446,22-10-2023,Girona,5 - 2,Almeria
447,28-10-2023,Almeria,1 - 2,Las Palmas
448,05-11-2023,Alaves,1 - 0,Almeria
449,11-11-2023,Almeria,1 - 3,Sociedad
450,25-11-2023,Getafe,2 - 1,Almeria
451,03-12-2023,Almeria,0 - 0,Betis
452,10-12-2023,Ath Madrid,2 - 1,Almeria
453,17-12-2023,Almeria,0 - 0,Mallorca
454,20-12-2023,Barcelona,3 - 2,Almeria
455,04-01-2024,Osasuna,1 - 0,Almeria
456,14-01-2024,Almeria,0 - 0,Girona
457,21-01-2024,Real Madrid,? - ?,Almeria
458,12-08-2023,Ath Bilbao,0 - 2,Real Madrid
459,19-08-2023,Osasuna,0 - 2,Ath Bilbao
460,27-08-2023,Ath Bilbao,4 - 2,Betis
461,03-09-2023,Mallorca,0 - 0,Ath Bilbao
462,16-09-2023,Ath Bilbao,3 - 0,Cadiz
463,22-09-2023,Alaves,0 - 2,Ath Bilbao
464,27-09-2023,Ath Bilbao,2 - 2,Getafe
465,30-09-2023,Sociedad,3 - 0,Ath Bilbao
466,06-10-2023,Ath Bilbao,3 - 0,Almeria
467,22-10-2023,Barcelona,1 - 0,Ath Bilbao
468,29-10-2023,Ath Bilbao,2 - 2,Valencia
469,05-11-2023,Villarreal,2 - 3,Ath Bilbao
470,10-11-2023,Ath Bilbao,4 - 3,Celta
471,27-11-2023,Girona,1 - 1,Ath Bilbao
472,02-12-2023,Ath Bilbao,4 - 0,Vallecano
473,11-12-2023,Granada,1 - 1,Ath Bilbao
474,16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
475,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
476,04-01-2024,Sevilla,0 - 2,Ath Bilbao
477,13-01-2024,Ath Bilbao,2 - 1,Sociedad
478,20-01-2024,Valencia,? - ?,Ath Bilbao
479,14-08-2023,Ath Madrid,3 - 1,Granada
480,20-08-2023,Betis,0 - 0,Ath Madrid
481,28-08-2023,Vallecano,0 - 7,Ath Madrid
482,16-09-2023,Valencia,3 - 0,Ath Madrid
483,24-09-2023,Ath Madrid,3 - 1,Real Madrid
484,28-09-2023,Osasuna,0 - 2,Ath Madrid
485,01-10-2023,Ath Madrid,3 - 2,Cadiz
486,08-10-2023,Ath Madrid,2 - 1,Sociedad
487,21-10-2023,Celta,0 - 3,Ath Madrid
488,29-10-2023,Ath Madrid,2 - 1,Alaves
489,03-11-2023,Las Palmas,2 - 1,Ath Madrid
490,12-11-2023,Ath Madrid,3 - 1,Villarreal
491,25-11-2023,Ath Madrid,1 - 0,Mallorca
492,03-12-2023,Barcelona,1 - 0,Ath Madrid
493,10-12-2023,Ath Madrid,2 - 1,Almeria
494,16-12-2023,Ath Bilbao,2 - 0,Ath Madrid
495,19-12-2023,Ath Madrid,3 - 3,Getafe
496,23-12-2023,Ath Madrid,1 - 0,Sevilla
497,03-01-2024,Girona,4 - 3,Ath Madrid
498,22-01-2024,Granada,? - ?,Ath Madrid
499,13-08-2023,Getafe,0 - 0,Barcelona
500,20-08-2023,Barcelona,2 - 0,Cadiz
501,27-08-2023,Villarreal,3 - 4,Barcelona
502,03-09-2023,Osasuna,1 - 2,Barcelona
503,16-09-2023,Barcelona,5 - 0,Betis
504,23-09-2023,Barcelona,3 - 2,Celta
505,26-09-2023,Mallorca,2 - 2,Barcelona
506,29-09-2023,Barcelona,1 - 0,Sevilla
507,08-10-2023,Granada,2 - 2,Barcelona
508,22-10-2023,Barcelona,1 - 0,Ath Bilbao
509,28-10-2023,Barcelona,1 - 2,Real Madrid
510,04-11-2023,Sociedad,0 - 1,Barcelona
511,12-11-2023,Barcelona,2 - 1,Alaves
512,25-11-2023,Vallecano,1 - 1,Barcelona
513,03-12-2023,Barcelona,1 - 0,Ath Madrid
514,10-12-2023,Barcelona,2 - 4,Girona
515,16-12-2023,Valencia,1 - 1,Barcelona
516,20-12-2023,Barcelona,3 - 2,Almeria
517,04-01-2024,Las Palmas,1 - 2,Barcelona
518,21-01-2024,Betis,? - ?,Barcelona
519,13-08-2023,Villarreal,1 - 2,Betis
520,20-08-2023,Betis,0 - 0,Ath Madrid
521,27-08-2023,Ath Bilbao,4 - 2,Betis
522,02-09-2023,Betis,1 - 0,Vallecano
523,16-09-2023,Barcelona,5 - 0,Betis
524,24-09-2023,Betis,1 - 1,Cadiz
525,28-09-2023,Granada,1 - 1,Betis
