,date,home_team,score,away_team
1036,02-12-2023,M''gladbach,2 - 1,Hoffenheim
1037,09-12-2023,Union Berlin,3 - 1,M''gladbach
1038,15-12-2023,M''gladbach,2 - 2,Werder Bremen
1039,20-12-2023,Ein Frankfurt,2 - 1,M''gladbach
1040,14-01-2024,M''gladbach,3 - 1,Stuttgart
1041,21-01-2024,M''gladbach,? - ?,Augsburg
1042,20-08-2023,Union Berlin,4 - 1,Mainz
1043,27-08-2023,Mainz,1 - 1,Ein Frankfurt
1044,02-09-2023,Werder Bremen,4 - 0,Mainz
1045,16-09-2023,Mainz,1 - 3,Stuttgart
1046,23-09-2023,Augsburg,2 - 1,Mainz
1047,30-09-2023,Mainz,0 - 3,Leverkusen
1048,06-10-2023,M''gladbach,2 - 2,Mainz
1049,21-10-2023,Mainz,1 - 3,Bayern Munich
1050,27-10-2023,Bochum,2 - 2,Mainz
1051,04-11-2023,Mainz,2 - 0,RB Leipzig
1052,11-11-2023,Darmstadt,0 - 0,Mainz
1053,26-11-2023,Hoffenheim,1 - 1,Mainz
1054,03-12-2023,Mainz,0 - 1,Freiburg
1055,10-12-2023,FC Koln,0 - 0,Mainz
1056,16-12-2023,Mainz,0 - 1,Heidenheim
1057,19-12-2023,Dortmund,1 - 1,Mainz
1058,13-01-2024,Mainz,1 - 1,Wolfsburg
1059,19-01-2024,Mainz,? - ?,Union Berlin
1060,19-08-2023,Leverkusen,3 - 2,RB Leipzig
1061,25-08-2023,RB Leipzig,5 - 1,Stuttgart
1062,03-09-2023,Union Berlin,0 - 3,RB Leipzig
1063,16-09-2023,RB Leipzig,3 - 0,Augsburg
1064,23-09-2023,M''gladbach,0 - 1,RB Leipzig
1065,30-09-2023,RB Leipzig,2 - 2,Bayern Munich
1066,07-10-2023,RB Leipzig,0 - 0,Bochum
1067,21-10-2023,Darmstadt,1 - 3,RB Leipzig
1068,28-10-2023,RB Leipzig,6 - 0,FC Koln
1069,04-11-2023,Mainz,2 - 0,RB Leipzig
1070,12-11-2023,RB Leipzig,3 - 1,Freiburg
1071,25-11-2023,Wolfsburg,2 - 1,RB Leipzig
1072,02-12-2023,RB Leipzig,2 - 1,Heidenheim
1073,09-12-2023,Dortmund,2 - 3,RB Leipzig
1074,16-12-2023,RB Leipzig,3 - 1,Hoffenheim
1075,19-12-2023,Werder Bremen,1 - 1,RB Leipzig
1076,13-01-2024,RB Leipzig,0 - 1,Ein Frankfurt
1077,20-01-2024,RB Leipzig,? - ?,Leverkusen
1078,19-08-2023,Stuttgart,5 - 0,Bochum
1079,25-08-2023,RB Leipzig,5 - 1,Stuttgart
1080,02-09-2023,Stuttgart,5 - 0,Freiburg
1081,16-09-2023,Mainz,1 - 3,Stuttgart
1082,22-09-2023,Stuttgart,3 - 1,Darmstadt
1083,30-09-2023,FC Koln,0 - 2,Stuttgart
1084,07-10-2023,Stuttgart,3 - 1,Wolfsburg
1085,21-10-2023,Union Berlin,0 - 3,Stuttgart
1086,28-10-2023,Stuttgart,2 - 3,Hoffenheim
1087,05-11-2023,Heidenheim,2 - 0,Stuttgart
1088,11-11-2023,Stuttgart,2 - 1,Dortmund
1089,25-11-2023,Ein Frankfurt,1 - 2,Stuttgart
1090,02-12-2023,Stuttgart,2 - 0,Werder Bremen
1091,10-12-2023,Stuttgart,1 - 1,Leverkusen
1092,17-12-2023,Bayern Munich,3 - 0,Stuttgart
1093,20-12-2023,Stuttgart,3 - 0,Augsburg
1094,14-01-2024,M''gladbach,3 - 1,Stuttgart
1095,20-01-2024,Vfl Bochum,? - ?,Stuttgart
1096,20-08-2023,Union Berlin,4 - 1,Mainz
1097,26-08-2023,Darmstadt,1 - 4,Union Berlin
1098,03-09-2023,Union Berlin,0 - 3,RB Leipzig
1099,16-09-2023,Wolfsburg,2 - 1,Union Berlin
1100,23-09-2023,Union Berlin,0 - 2,Hoffenheim
1101,30-09-2023,Heidenheim,1 - 0,Union Berlin
1102,07-10-2023,Dortmund,4 - 2,Union Berlin
1103,21-10-2023,Union Berlin,0 - 3,Stuttgart
1104,28-10-2023,Werder Bremen,2 - 0,Union Berlin
1105,04-11-2023,Union Berlin,0 - 3,Ein Frankfurt
1106,12-11-2023,Leverkusen,4 - 0,Union Berlin
1107,25-11-2023,Union Berlin,1 - 1,Augsburg
1108,09-12-2023,Union Berlin,3 - 1,M''gladbach
1109,16-12-2023,Bochum,3 - 0,Union Berlin
1110,20-12-2023,Union Berlin,2 - 0,1.FC Köln
1111,13-01-2024,Freiburg,0 - 0,Union Berlin
1112,19-01-2024,Mainz,? - ?,Union Berlin
1113,20-12-2023,Leverkusen,4 - 0,Vfl Bochum
1114,14-01-2024,Vfl Bochum,1 - 1,Werder Bremen
1115,20-01-2024,Vfl Bochum,? - ?,Stuttgart
1116,18-08-2023,Werder Bremen,0 - 4,Bayern Munich
1117,26-08-2023,Freiburg,1 - 0,Werder Bremen
1118,02-09-2023,Werder Bremen,4 - 0,Mainz
1119,17-09-2023,Heidenheim,4 - 2,Werder Bremen
1120,23-09-2023,Werder Bremen,2 - 1,FC Koln
1121,01-10-2023,Darmstadt,4 - 2,Werder Bremen
1122,07-10-2023,Werder Bremen,2 - 3,Hoffenheim
1123,20-10-2023,Dortmund,1 - 0,Werder Bremen
1124,28-10-2023,Werder Bremen,2 - 0,Union Berlin
1125,05-11-2023,Wolfsburg,2 - 2,Werder Bremen
1126,12-11-2023,Werder Bremen,2 - 2,Ein Frankfurt
1127,25-11-2023,Werder Bremen,0 - 3,Leverkusen
1128,02-12-2023,Stuttgart,2 - 0,Werder Bremen
1129,09-12-2023,Werder Bremen,2 - 0,Augsburg
1130,15-12-2023,M''gladbach,2 - 2,Werder Bremen
1131,19-12-2023,Werder Bremen,1 - 1,RB Leipzig
1132,14-01-2024,Vfl Bochum,1 - 1,Werder Bremen
1133,21-01-2024,Bayern Munich,? - ?,Werder Bremen
1134,19-08-2023,Wolfsburg,2 - 0,Heidenheim
1135,26-08-2023,FC Koln,1 - 2,Wolfsburg
1136,02-09-2023,Hoffenheim,3 - 1,Wolfsburg
1137,16-09-2023,Wolfsburg,2 - 1,Union Berlin
1138,23-09-2023,Dortmund,1 - 0,Wolfsburg
1139,30-09-2023,Wolfsburg,2 - 0,Ein Frankfurt
1140,07-10-2023,Stuttgart,3 - 1,Wolfsburg
1141,21-10-2023,Wolfsburg,1 - 2,Leverkusen
1142,28-10-2023,Augsburg,3 - 2,Wolfsburg
1143,05-11-2023,Wolfsburg,2 - 2,Werder Bremen
1144,10-11-2023,M''gladbach,4 - 0,Wolfsburg
1145,25-11-2023,Wolfsburg,2 - 1,RB Leipzig
1146,02-12-2023,Bochum,3 - 1,Wolfsburg
1147,09-12-2023,Wolfsburg,0 - 1,Freiburg
1148,16-12-2023,Darmstadt,0 - 1,Wolfsburg
1149,20-12-2023,Wolfsburg,1 - 2,Bayern Munich
1150,13-01-2024,Mainz,1 - 1,Wolfsburg
1151,20-01-2024,Heidenheim,? - ?,Wolfsburg
1152,20-08-2023,Sassuolo,0 - 2,Atalanta
1153,26-08-2023,Frosinone,2 - 1,Atalanta
1154,02-09-2023,Atalanta,3 - 0,Monza
1155,17-09-2023,Fiorentina,3 - 2,Atalanta
1156,24-09-2023,Atalanta,2 - 0,Cagliari
1157,27-09-2023,Verona,0 - 1,Atalanta
1158,01-10-2023,Atalanta,0 - 0,Juventus
1159,08-10-2023,Lazio,3 - 2,Atalanta
1160,22-10-2023,Atalanta,2 - 0,Genoa
1161,30-10-2023,Empoli,0 - 3,Atalanta
1162,04-11-2023,Atalanta,1 - 2,Inter
1163,12-11-2023,Udinese,1 - 1,Atalanta
1164,25-11-2023,Atalanta,1 - 2,Napoli
1165,04-12-2023,Torino,3 - 0,Atalanta
1166,09-12-2023,Atalanta,3 - 2,Milan
1167,18-12-2023,Atalanta,4 - 1,Salernitana
1168,23-12-2023,Bologna,1 - 0,Atalanta
1169,30-12-2023,Atalanta,1 - 0,Lecce
1170,07-01-2024,Roma,1 - 1,Atalanta
1171,15-01-2024,Atalanta,5 - 0,Frosinone
1172,21-08-2023,Bologna,0 - 2,Milan
1173,27-08-2023,Juventus,1 - 1,Bologna
1174,02-09-2023,Bologna,2 - 1,Cagliari
1175,18-09-2023,Verona,0 - 0,Bologna
1176,24-09-2023,Bologna,0 - 0,Napoli
1177,28-09-2023,Monza,0 - 0,Bologna
1178,01-10-2023,Bologna,3 - 0,Empoli
1179,07-10-2023,Inter,2 - 2,Bologna
1180,22-10-2023,Bologna,2 - 1,Frosinone
1181,28-10-2023,Sassuolo,1 - 1,Bologna
1182,03-11-2023,Bologna,1 - 0,Lazio
1183,12-11-2023,Fiorentina,2 - 1,Bologna
1184,27-11-2023,Bologna,2 - 0,Torino
1185,03-12-2023,Lecce,1 - 1,Bologna
1186,10-12-2023,Salernitana,1 - 2,Bologna
1187,17-12-2023,Bologna,2 - 0,Roma
1188,23-12-2023,Bologna,1 - 0,Atalanta
1189,30-12-2023,Udinese,3 - 0,Bologna
1190,05-01-2024,Bologna,1 - 1,Genoa
1191,14-01-2024,Cagliari,2 - 1,Bologna
1192,21-08-2023,Torino,0 - 0,Cagliari
1193,28-08-2023,Cagliari,0 - 2,Inter
1194,02-09-2023,Bologna,2 - 1,Cagliari
1195,17-09-2023,Cagliari,0 - 0,Udinese
1196,24-09-2023,Atalanta,2 - 0,Cagliari
1197,27-09-2023,Cagliari,1 - 3,Milan
1198,02-10-2023,Fiorentina,3 - 0,Cagliari
1199,08-10-2023,Cagliari,1 - 4,Roma
1200,22-10-2023,Salernitana,2 - 2,Cagliari
1201,29-10-2023,Cagliari,4 - 3,Frosinone
1202,05-11-2023,Cagliari,2 - 1,Genoa
1203,11-11-2023,Juventus,2 - 1,Cagliari
1204,26-11-2023,Cagliari,1 - 1,Monza
1205,02-12-2023,Lazio,1 - 0,Cagliari
1206,11-12-2023,Cagliari,2 - 1,Sassuolo
1207,16-12-2023,Napoli,2 - 1,Cagliari
1208,23-12-2023,Verona,2 - 0,Cagliari
1209,30-12-2023,Cagliari,0 - 0,Empoli
1210,06-01-2024,Lecce,1 - 1,Cagliari
1211,14-01-2024,Cagliari,2 - 1,Bologna
1212,21-01-2024,Frosinone,? - ?,Cagliari
1213,19-08-2023,Empoli,0 - 1,Verona
1214,26-08-2023,Monza,2 - 0,Empoli
1215,03-09-2023,Empoli,0 - 2,Juventus
1216,17-09-2023,Roma,7 - 0,Empoli
1217,24-09-2023,Empoli,0 - 1,Inter
1218,27-09-2023,Empoli,1 - 0,Salernitana
1219,01-10-2023,Bologna,3 - 0,Empoli
1220,06-10-2023,Empoli,0 - 0,Udinese
1221,23-10-2023,Fiorentina,0 - 2,Empoli
1222,30-10-2023,Empoli,0 - 3,Atalanta
1223,06-11-2023,Frosinone,2 - 1,Empoli
1224,12-11-2023,Napoli,0 - 1,Empoli
1225,26-11-2023,Empoli,3 - 4,Sassuolo
1226,02-12-2023,Genoa,1 - 1,Empoli
1227,11-12-2023,Empoli,1 - 1,Lecce
1228,16-12-2023,Torino,1 - 0,Empoli
1229,22-12-2023,Empoli,0 - 2,Lazio
1230,30-12-2023,Cagliari,0 - 0,Empoli
1231,07-01-2024,Empoli,0 - 3,Milan
1232,13-01-2024,Verona,2 - 1,Empoli
1233,21-01-2024,Empoli,? - ?,Monza
1234,19-08-2023,Genoa,1 - 4,Fiorentina
1235,27-08-2023,Fiorentina,2 - 2,Lecce
1236,03-09-2023,Inter,4 - 0,Fiorentina
1237,17-09-2023,Fiorentina,3 - 2,Atalanta
1238,24-09-2023,Udinese,0 - 2,Fiorentina
1239,28-09-2023,Frosinone,1 - 1,Fiorentina
1240,02-10-2023,Fiorentina,3 - 0,Cagliari
1241,08-10-2023,Napoli,1 - 3,Fiorentina
1242,23-10-2023,Fiorentina,0 - 2,Empoli
1243,30-10-2023,Lazio,1 - 0,Fiorentina
1244,05-11-2023,Fiorentina,0 - 1,Juventus
1245,12-11-2023,Fiorentina,2 - 1,Bologna
1246,25-11-2023,Milan,1 - 0,Fiorentina
1247,03-12-2023,Fiorentina,3 - 0,Salernitana
1248,10-12-2023,Roma,1 - 1,Fiorentina
1249,17-12-2023,Fiorentina,1 - 0,Verona
1250,22-12-2023,Monza,0 - 1,Fiorentina
1251,29-12-2023,Fiorentina,1 - 0,Torino
1252,06-01-2024,Sassuolo,1 - 0,Fiorentina
1253,14-01-2024,Fiorentina,2 - 2,Udinese
1254,28-01-2024,Fiorentina,? - ?,Inter
1255,19-08-2023,Frosinone,1 - 3,Napoli
1256,26-08-2023,Frosinone,2 - 1,Atalanta
1257,02-09-2023,Udinese,0 - 0,Frosinone
1258,17-09-2023,Frosinone,4 - 2,Sassuolo
1259,22-09-2023,Salernitana,1 - 1,Frosinone
1260,28-09-2023,Frosinone,1 - 1,Fiorentina
1261,01-10-2023,Roma,2 - 0,Frosinone
1262,08-10-2023,Frosinone,2 - 1,Verona
1263,22-10-2023,Bologna,2 - 1,Frosinone
1264,29-10-2023,Cagliari,4 - 3,Frosinone
1265,06-11-2023,Frosinone,2 - 1,Empoli
1266,12-11-2023,Inter,2 - 0,Frosinone
1267,26-11-2023,Frosinone,2 - 1,Genoa
1268,02-12-2023,Milan,3 - 1,Frosinone
1269,10-12-2023,Frosinone,0 - 0,Torino
1270,16-12-2023,Lecce,2 - 1,Frosinone
1271,23-12-2023,Frosinone,1 - 2,Juventus
1272,29-12-2023,Lazio,3 - 1,Frosinone
1273,06-01-2024,Frosinone,2 - 3,Monza
1274,15-01-2024,Atalanta,5 - 0,Frosinone
1275,21-01-2024,Frosinone,? - ?,Cagliari
1276,19-08-2023,Genoa,1 - 4,Fiorentina
1277,27-08-2023,Lazio,0 - 1,Genoa
1278,03-09-2023,Torino,1 - 0,Genoa
1279,16-09-2023,Genoa,2 - 2,Napoli
1280,22-09-2023,Lecce,1 - 0,Genoa
1281,28-09-2023,Genoa,4 - 1,Roma
1282,01-10-2023,Udinese,2 - 2,Genoa
1283,07-10-2023,Genoa,0 - 1,Milan
1284,22-10-2023,Atalanta,2 - 0,Genoa
1285,27-10-2023,Genoa,1 - 0,Salernitana
1286,05-11-2023,Cagliari,2 - 1,Genoa
1287,10-11-2023,Genoa,1 - 0,Verona
1288,26-11-2023,Frosinone,2 - 1,Genoa
1289,02-12-2023,Genoa,1 - 1,Empoli
1290,10-12-2023,Monza,1 - 0,Genoa
1291,15-12-2023,Genoa,1 - 1,Juventus
1292,22-12-2023,Sassuolo,1 - 2,Genoa
1293,29-12-2023,Genoa,1 - 1,Inter
1294,05-01-2024,Bologna,1 - 1,Genoa
1295,13-01-2024,Genoa,0 - 0,Torino
1296,21-01-2024,Salernitana,? - ?,Genoa
1297,19-08-2023,Inter,2 - 0,Monza
1298,28-08-2023,Cagliari,0 - 2,Inter
1299,03-09-2023,Inter,4 - 0,Fiorentina
1300,16-09-2023,Inter,5 - 1,Milan
1301,24-09-2023,Empoli,0 - 1,Inter
1302,27-09-2023,Inter,1 - 2,Sassuolo
1303,30-09-2023,Salernitana,0 - 4,Inter
1304,07-10-2023,Inter,2 - 2,Bologna
1305,21-10-2023,Torino,0 - 3,Inter
1306,29-10-2023,Inter,1 - 0,Roma
1307,04-11-2023,Atalanta,1 - 2,Inter
1308,12-11-2023,Inter,2 - 0,Frosinone
1309,26-11-2023,Juventus,1 - 1,Inter
1310,03-12-2023,Napoli,0 - 3,Inter
1311,09-12-2023,Inter,4 - 0,Udinese
1312,17-12-2023,Lazio,0 - 2,Inter
1313,23-12-2023,Inter,2 - 0,Lecce
1314,29-12-2023,Genoa,1 - 1,Inter
1315,06-01-2024,Inter,2 - 1,Verona
1316,13-01-2024,Monza,1 - 5,Inter
1317,28-01-2024,Fiorentina,? - ?,Inter
1318,20-08-2023,Udinese,0 - 3,Juventus
1319,27-08-2023,Juventus,1 - 1,Bologna
1320,03-09-2023,Empoli,0 - 2,Juventus
1321,16-09-2023,Juventus,3 - 1,Lazio
1322,23-09-2023,Sassuolo,4 - 2,Juventus
1323,26-09-2023,Juventus,1 - 0,Lecce
1324,01-10-2023,Atalanta,0 - 0,Juventus
1325,07-10-2023,Juventus,2 - 0,Torino
1326,22-10-2023,Milan,0 - 1,Juventus
1327,28-10-2023,Juventus,1 - 0,Verona
1328,05-11-2023,Fiorentina,0 - 1,Juventus
1329,11-11-2023,Juventus,2 - 1,Cagliari
1330,26-11-2023,Juventus,1 - 1,Inter
1331,01-12-2023,Monza,1 - 2,Juventus
1332,08-12-2023,Juventus,1 - 0,Napoli
1333,15-12-2023,Genoa,1 - 1,Juventus
1334,23-12-2023,Frosinone,1 - 2,Juventus
1335,30-12-2023,Juventus,1 - 0,Roma
1336,07-01-2024,Salernitana,1 - 2,Juventus
1337,16-01-2024,Juventus,3 - 0,Sassuolo
1338,21-01-2024,Lecce,? - ?,Juventus
1339,20-08-2023,Lecce,2 - 1,Lazio
1340,27-08-2023,Lazio,0 - 1,Genoa
1341,02-09-2023,Napoli,1 - 2,Lazio
1342,16-09-2023,Juventus,3 - 1,Lazio
1343,23-09-2023,Lazio,1 - 1,Monza
1344,27-09-2023,Lazio,2 - 0,Torino
1345,30-09-2023,Milan,2 - 0,Lazio
1346,08-10-2023,Lazio,3 - 2,Atalanta
1347,21-10-2023,Sassuolo,0 - 2,Lazio
1348,30-10-2023,Lazio,1 - 0,Fiorentina
1349,03-11-2023,Bologna,1 - 0,Lazio
1350,12-11-2023,Lazio,0 - 0,Roma
1351,25-11-2023,Salernitana,2 - 1,Lazio
1352,02-12-2023,Lazio,1 - 0,Cagliari
1353,09-12-2023,Verona,1 - 1,Lazio
1354,17-12-2023,Lazio,0 - 2,Inter
1355,22-12-2023,Empoli,0 - 2,Lazio
1356,29-12-2023,Lazio,3 - 1,Frosinone
1357,07-01-2024,Udinese,1 - 2,Lazio
1358,14-01-2024,Lazio,1 - 0,Lecce
1359,28-01-2024,Lazio,? - ?,Napoli
1360,20-08-2023,Lecce,2 - 1,Lazio
1361,27-08-2023,Fiorentina,2 - 2,Lecce
1362,03-09-2023,Lecce,2 - 0,Salernitana
1363,17-09-2023,Monza,1 - 1,Lecce
1364,22-09-2023,Lecce,1 - 0,Genoa
1365,26-09-2023,Juventus,1 - 0,Lecce
1366,30-09-2023,Lecce,0 - 4,Napoli
1367,06-10-2023,Lecce,1 - 1,Sassuolo
1368,23-10-2023,Udinese,1 - 1,Lecce
1369,28-10-2023,Lecce,0 - 1,Torino
1370,05-11-2023,Roma,2 - 1,Lecce
1371,11-11-2023,Lecce,2 - 2,Milan
1372,27-11-2023,Verona,2 - 2,Lecce
1373,03-12-2023,Lecce,1 - 1,Bologna
1374,11-12-2023,Empoli,1 - 1,Lecce
1375,16-12-2023,Lecce,2 - 1,Frosinone
1376,23-12-2023,Inter,2 - 0,Lecce
1377,30-12-2023,Atalanta,1 - 0,Lecce
1378,06-01-2024,Lecce,1 - 1,Cagliari
1379,14-01-2024,Lazio,1 - 0,Lecce
1380,21-01-2024,Lecce,? - ?,Juventus
1381,21-08-2023,Bologna,0 - 2,Milan
1382,26-08-2023,Milan,4 - 1,Torino
1383,01-09-2023,Roma,1 - 2,Milan
1384,16-09-2023,Inter,5 - 1,Milan
1385,23-09-2023,Milan,1 - 0,Verona
1386,27-09-2023,Cagliari,1 - 3,Milan
1387,30-09-2023,Milan,2 - 0,Lazio
1388,07-10-2023,Genoa,0 - 1,Milan
1389,22-10-2023,Milan,0 - 1,Juventus
1390,29-10-2023,Napoli,2 - 2,Milan
1391,04-11-2023,Milan,0 - 1,Udinese
1392,11-11-2023,Lecce,2 - 2,Milan
1393,25-11-2023,Milan,1 - 0,Fiorentina
1394,02-12-2023,Milan,3 - 1,Frosinone
1395,09-12-2023,Atalanta,3 - 2,Milan
1396,17-12-2023,Milan,3 - 0,Monza
1397,22-12-2023,Salernitana,2 - 2,Milan
1398,30-12-2023,Milan,1 - 0,Sassuolo
1399,07-01-2024,Empoli,0 - 3,Milan
1400,14-01-2024,Milan,3 - 1,Roma
1401,20-01-2024,Udinese,? - ?,Milan
1402,19-08-2023,Inter,2 - 0,Monza
1403,26-08-2023,Monza,2 - 0,Empoli
1404,02-09-2023,Atalanta,3 - 0,Monza
1405,17-09-2023,Monza,1 - 1,Lecce
1406,23-09-2023,Lazio,1 - 1,Monza
1407,28-09-2023,Monza,0 - 0,Bologna
1408,02-10-2023,Sassuolo,0 - 1,Monza
1409,08-10-2023,Monza,3 - 0,Salernitana
1410,22-10-2023,Roma,1 - 0,Monza
1411,29-10-2023,Monza,1 - 1,Udinese
1412,05-11-2023,Verona,1 - 3,Monza
1413,11-11-2023,Monza,1 - 1,Torino
1414,26-11-2023,Cagliari,1 - 1,Monza
1415,01-12-2023,Monza,1 - 2,Juventus
1416,10-12-2023,Monza,1 - 0,Genoa
1417,17-12-2023,Milan,3 - 0,Monza
1418,22-12-2023,Monza,0 - 1,Fiorentina
1419,29-12-2023,Napoli,0 - 0,Monza
1420,06-01-2024,Frosinone,2 - 3,Monza
1421,13-01-2024,Monza,1 - 5,Inter
1422,21-01-2024,Empoli,? - ?,Monza
1423,19-08-2023,Frosinone,1 - 3,Napoli
1424,27-08-2023,Napoli,2 - 0,Sassuolo
1425,02-09-2023,Napoli,1 - 2,Lazio
1426,16-09-2023,Genoa,2 - 2,Napoli
1427,24-09-2023,Bologna,0 - 0,Napoli
1428,27-09-2023,Napoli,4 - 1,Udinese
1429,30-09-2023,Lecce,0 - 4,Napoli
1430,08-10-2023,Napoli,1 - 3,Fiorentina
1431,21-10-2023,Verona,1 - 3,Napoli
1432,29-10-2023,Napoli,2 - 2,Milan
1433,04-11-2023,Salernitana,0 - 2,Napoli
1434,12-11-2023,Napoli,0 - 1,Empoli
1435,25-11-2023,Atalanta,1 - 2,Napoli
1436,03-12-2023,Napoli,0 - 3,Inter
1437,08-12-2023,Juventus,1 - 0,Napoli
1438,16-12-2023,Napoli,2 - 1,Cagliari
1439,23-12-2023,Roma,2 - 0,Napoli
1440,29-12-2023,Napoli,0 - 0,Monza
1441,07-01-2024,Torino,3 - 0,Napoli
1442,13-01-2024,Napoli,2 - 1,Salernitana
1443,28-01-2024,Lazio,? - ?,Napoli
1444,20-08-2023,Roma,2 - 2,Salernitana
1445,26-08-2023,Verona,2 - 1,Roma
1446,01-09-2023,Roma,1 - 2,Milan
1447,17-09-2023,Roma,7 - 0,Empoli
1448,24-09-2023,Torino,1 - 1,Roma
1449,28-09-2023,Genoa,4 - 1,Roma
1450,01-10-2023,Roma,2 - 0,Frosinone
1451,08-10-2023,Cagliari,1 - 4,Roma
1452,22-10-2023,Roma,1 - 0,Monza
1453,29-10-2023,Inter,1 - 0,Roma
1454,05-11-2023,Roma,2 - 1,Lecce
1455,12-11-2023,Lazio,0 - 0,Roma
1456,26-11-2023,Roma,3 - 1,Udinese
1457,03-12-2023,Sassuolo,1 - 2,Roma
1458,10-12-2023,Roma,1 - 1,Fiorentina
1459,17-12-2023,Bologna,2 - 0,Roma
1460,23-12-2023,Roma,2 - 0,Napoli
1461,30-12-2023,Juventus,1 - 0,Roma
1462,07-01-2024,Roma,1 - 1,Atalanta
1463,14-01-2024,Milan,3 - 1,Roma
1464,20-01-2024,Roma,? - ?,Verona
1465,20-08-2023,Roma,2 - 2,Salernitana
1466,28-08-2023,Salernitana,1 - 1,Udinese
1467,03-09-2023,Lecce,2 - 0,Salernitana
1468,18-09-2023,Salernitana,0 - 3,Torino
1469,22-09-2023,Salernitana,1 - 1,Frosinone
1470,27-09-2023,Empoli,1 - 0,Salernitana
1471,30-09-2023,Salernitana,0 - 4,Inter
1472,08-10-2023,Monza,3 - 0,Salernitana
1473,22-10-2023,Salernitana,2 - 2,Cagliari
1474,27-10-2023,Genoa,1 - 0,Salernitana
1475,04-11-2023,Salernitana,0 - 2,Napoli
1476,10-11-2023,Sassuolo,2 - 2,Salernitana
1477,25-11-2023,Salernitana,2 - 1,Lazio
1478,03-12-2023,Fiorentina,3 - 0,Salernitana
1479,10-12-2023,Salernitana,1 - 2,Bologna
1480,18-12-2023,Atalanta,4 - 1,Salernitana
1481,22-12-2023,Salernitana,2 - 2,Milan
1482,30-12-2023,Verona,0 - 1,Salernitana
1483,07-01-2024,Salernitana,1 - 2,Juventus
1484,13-01-2024,Napoli,2 - 1,Salernitana
1485,21-01-2024,Salernitana,? - ?,Genoa
1486,20-08-2023,Sassuolo,0 - 2,Atalanta
1487,27-08-2023,Napoli,2 - 0,Sassuolo
1488,01-09-2023,Sassuolo,3 - 1,Verona
1489,17-09-2023,Frosinone,4 - 2,Sassuolo
1490,23-09-2023,Sassuolo,4 - 2,Juventus
1491,27-09-2023,Inter,1 - 2,Sassuolo
1492,02-10-2023,Sassuolo,0 - 1,Monza
1493,06-10-2023,Lecce,1 - 1,Sassuolo
1494,21-10-2023,Sassuolo,0 - 2,Lazio
1495,28-10-2023,Sassuolo,1 - 1,Bologna
1496,06-11-2023,Torino,2 - 1,Sassuolo
1497,10-11-2023,Sassuolo,2 - 2,Salernitana
1498,26-11-2023,Empoli,3 - 4,Sassuolo
1499,03-12-2023,Sassuolo,1 - 2,Roma
1500,11-12-2023,Cagliari,2 - 1,Sassuolo
1501,17-12-2023,Udinese,2 - 2,Sassuolo
1502,22-12-2023,Sassuolo,1 - 2,Genoa
1503,30-12-2023,Milan,1 - 0,Sassuolo
1504,06-01-2024,Sassuolo,1 - 0,Fiorentina
1505,16-01-2024,Juventus,3 - 0,Sassuolo
1506,21-08-2023,Torino,0 - 0,Cagliari
1507,26-08-2023,Milan,4 - 1,Torino
1508,03-09-2023,Torino,1 - 0,Genoa
1509,18-09-2023,Salernitana,0 - 3,Torino
1510,24-09-2023,Torino,1 - 1,Roma
1511,27-09-2023,Lazio,2 - 0,Torino
1512,02-10-2023,Torino,0 - 0,Verona
1513,07-10-2023,Juventus,2 - 0,Torino
1514,21-10-2023,Torino,0 - 3,Inter
1515,28-10-2023,Lecce,0 - 1,Torino
1516,06-11-2023,Torino,2 - 1,Sassuolo
1517,11-11-2023,Monza,1 - 1,Torino
1518,27-11-2023,Bologna,2 - 0,Torino
1519,04-12-2023,Torino,3 - 0,Atalanta
1520,10-12-2023,Frosinone,0 - 0,Torino
1521,16-12-2023,Torino,1 - 0,Empoli
1522,23-12-2023,Torino,1 - 1,Udinese
1523,29-12-2023,Fiorentina,1 - 0,Torino
1524,07-01-2024,Torino,3 - 0,Napoli
1525,13-01-2024,Genoa,0 - 0,Torino
1526,20-08-2023,Udinese,0 - 3,Juventus
1527,28-08-2023,Salernitana,1 - 1,Udinese
1528,02-09-2023,Udinese,0 - 0,Frosinone
1529,17-09-2023,Cagliari,0 - 0,Udinese
1530,24-09-2023,Udinese,0 - 2,Fiorentina
1531,27-09-2023,Napoli,4 - 1,Udinese
1532,01-10-2023,Udinese,2 - 2,Genoa
1533,06-10-2023,Empoli,0 - 0,Udinese
1534,23-10-2023,Udinese,1 - 1,Lecce
1535,29-10-2023,Monza,1 - 1,Udinese
1536,04-11-2023,Milan,0 - 1,Udinese
1537,12-11-2023,Udinese,1 - 1,Atalanta
1538,26-11-2023,Roma,3 - 1,Udinese
1539,03-12-2023,Udinese,3 - 3,Verona
1540,09-12-2023,Inter,4 - 0,Udinese
1541,17-12-2023,Udinese,2 - 2,Sassuolo
1542,23-12-2023,Torino,1 - 1,Udinese
1543,30-12-2023,Udinese,3 - 0,Bologna
1544,07-01-2024,Udinese,1 - 2,Lazio
1545,14-01-2024,Fiorentina,2 - 2,Udinese
1546,20-01-2024,Udinese,? - ?,Milan
1547,19-08-2023,Empoli,0 - 1,Verona
1548,26-08-2023,Verona,2 - 1,Roma
1549,01-09-2023,Sassuolo,3 - 1,Verona
1550,18-09-2023,Verona,0 - 0,Bologna
1551,23-09-2023,Milan,1 - 0,Verona
